frame,timestamp_ms,person_id,cam_x,cam_y,cam_z,new_x,new_y,new_z
72,21462,2,387.85,496.86,699.00,2271.77,-2030.08,-506.17
73,21480,2,359.80,470.37,658.00,2293.98,-2051.03,-454.53
74,21505,2,391.20,487.67,690.00,2283.31,-2038.25,-500.85
75,21525,2,387.56,479.09,674.00,2295.75,-2049.78,-487.20
76,21543,2,381.99,478.23,669.00,2296.44,-2051.76,-480.24
77,21562,2,380.43,474.24,671.00,2295.27,-2048.74,-478.18
78,21581,2,381.99,475.53,669.00,2297.29,-2051.38,-479.08
79,21605,2,384.69,475.53,669.00,2298.88,-2052.53,-481.20
80,21623,2,382.17,466.47,660.00,2306.91,-2058.21,-471.32
81,21643,2,385.07,470.00,665.00,2303.80,-2055.48,-477.34
82,21662,2,385.07,467.32,665.00,2304.64,-2055.10,-476.18
83,21684,2,385.07,467.32,665.00,2304.64,-2055.10,-476.18
84,21704,2,383.13,474.24,671.00,2296.87,-2049.89,-480.30
85,21723,2,384.48,482.72,683.00,2286.09,-2040.94,-490.33
86,21746,2,384.85,476.36,674.00,2294.99,-2048.24,-483.89
87,21761,2,382.30,489.75,689.00,2278.15,-2035.65,-494.31
88,21781,2,374.51,496.03,690.00,2270.85,-2032.33,-491.34
89,21801,1,399.21,538.68,741.00,2234.18,-2003.31,-551.74
90,21820,1,367.91,522.67,715.00,2240.05,-2010.95,-508.71
91,21839,1,370.16,477.66,672.00,2287.40,-2043.96,-472.03
92,21868,1,374.01,486.19,684.00,2278.09,-2036.09,-484.05
93,21885,1,370.16,477.66,672.00,2287.40,-2043.96,-472.03
94,21922,1,352.34,472.80,654.00,2291.80,-2051.77,-447.95
95,21941,1,342.32,467.28,650.00,2290.58,-2050.30,-435.92
96,21959,1,354.53,500.88,689.00,2258.29,-2025.40,-477.29
97,21985,1,357.62,508.05,695.00,2253.42,-2022.37,-485.46
98,22021,1,361.96,521.15,709.00,2241.48,-2013.57,-500.73
99,22043,1,356.75,521.88,710.00,2237.43,-2010.56,-497.39
100,22062,1,359.61,519.02,710.00,2240.01,-2011.37,-498.40
101,22082,1,357.31,498.10,689.00,2260.80,-2026.19,-478.27
102,22101,1,360.39,481.81,674.00,2278.86,-2038.60,-467.02
103,22120,1,357.68,481.81,674.00,2277.26,-2037.45,-464.89
104,22139,1,357.68,481.81,674.00,2277.26,-2037.45,-464.89
105,22164,2,351.60,484.67,678.00,2269.80,-2031.69,-463.12
106,22183,2,351.60,484.67,678.00,2269.80,-2031.69,-463.12
107,22202,2,365.64,486.97,689.00,2269.18,-2028.16,-480.01
108,22224,2,341.17,488.13,679.00,2261.82,-2026.85,-456.86
109,22243,2,343.91,482.64,679.00,2265.14,-2027.23,-456.64
110,22263,2,340.93,483.43,684.00,2259.41,-2021.61,-456.85
111,22283,2,344.60,492.62,697.00,2249.04,-2012.85,-469.46
112,22306,2,347.45,479.30,686.00,2263.06,-2022.01,-461.09
113,22319,2,345.69,477.92,688.00,2260.96,-2019.28,-459.99
114,22338,2,343.92,473.74,690.00,2259.73,-2016.15,-457.68
115,22363,2,341.14,468.16,690.00,2259.82,-2014.17,-453.09
116,22503,2,362.00,478.48,677.00,2278.61,-2036.13,-468.18
117,22522,2,352.77,479.80,675.00,2274.24,-2034.18,-460.60
118,22541,2,357.07,470.97,678.00,2277.29,-2032.08,-461.51
119,22561,2,360.86,475.11,680.00,2276.75,-2032.49,-467.16
120,22580,2,351.44,482.72,683.00,2266.59,-2026.88,-464.37
121,22605,2,348.69,488.24,683.00,2263.24,-2026.49,-464.58
122,22618,2,353.68,484.77,682.00,2268.01,-2029.01,-466.57
123,22643,2,349.20,494.48,684.00,2260.86,-2026.69,-468.12
124,22661,2,353.28,497.47,692.00,2256.38,-2021.71,-476.16
125,22681,2,362.87,540.95,740.00,2212.77,-1989.05,-523.71
126,22701,2,356.91,540.95,740.00,2209.25,-1986.51,-519.03
127,22721,2,344.84,512.49,721.00,2225.13,-1994.32,-488.85
128,22741,2,342.45,500.26,716.00,2231.24,-1996.04,-479.48
129,22763,2,346.78,519.79,719.00,2225.49,-1997.97,-492.64
130,22788,2,369.31,534.32,735.00,2222.36,-1995.32,-523.70
131,22802,2,352.09,521.96,718.00,2228.69,-2001.43,-497.30
132,22821,2,351.75,489.75,689.00,2260.11,-2022.64,-470.30
133,22840,2,369.31,534.32,735.00,2222.36,-1995.32,-523.70
134,22859,2,359.37,529.97,721.00,2228.27,-2002.99,-507.81
135,22878,2,347.74,535.79,721.00,2219.59,-1998.86,-501.19
136,22898,2,356.46,532.88,721.00,2225.65,-2002.16,-506.78
137,22918,2,344.84,538.71,721.00,2216.97,-1998.04,-500.16
138,22942,2,342.92,532.82,717.00,2220.65,-1999.96,-494.34
139,22961,2,337.66,521.80,706.00,2229.17,-2005.99,-480.58
140,22980,2,330.38,506.27,685.00,2245.34,-2019.46,-458.86
141,23000,2,324.38,511.06,684.00,2241.05,-2018.48,-455.77
142,23019,2,340.51,518.94,706.00,2231.74,-2006.80,-481.59
143,23039,2,343.36,518.94,706.00,2233.42,-2008.01,-483.82
144,23059,2,350.12,519.06,714.00,2231.42,-2003.76,-492.74
145,23080,2,348.22,523.40,716.00,2227.45,-2001.78,-494.00
146,23099,2,340.15,491.82,688.00,2253.37,-2018.89,-461.63
147,23117,2,343.11,498.91,694.00,2248.44,-2015.79,-469.68
148,23141,2,345.91,501.71,694.00,2249.22,-2017.38,-473.09
149,23159,2,347.91,504.60,698.00,2246.52,-2015.07,-477.67
150,23179,2,342.45,511.83,716.00,2227.64,-1997.68,-484.47
151,23198,2,342.92,518.34,717.00,2225.16,-1997.91,-488.10
152,23219,2,331.97,510.39,706.00,2229.36,-2001.95,-471.19
153,23240,2,340.51,516.16,718.00,2223.66,-1995.68,-485.70
154,23260,2,346.69,502.54,707.00,2239.74,-2006.21,-479.81
155,23279,2,345.30,504.68,710.00,2236.02,-2003.24,-480.97
156,23298,2,348.16,507.54,710.00,2236.82,-2004.87,-484.46
157,23316,2,349.19,516.16,718.00,2228.79,-1999.38,-492.53
158,23339,2,338.58,501.82,702.00,2238.90,-2007.13,-470.91
159,23359,2,338.58,504.66,702.00,2238.02,-2007.53,-472.14
160,23378,2,338.58,498.99,702.00,2239.78,-2006.73,-469.69
161,23396,2,338.58,498.99,702.00,2239.78,-2006.73,-469.69
162,23420,2,336.23,496.86,703.00,2238.31,-2004.53,-467.37
163,23441,2,338.14,501.05,713.00,2230.69,-1997.00,-475.10
164,23460,2,341.01,503.93,713.00,2231.49,-1998.63,-478.60
165,23484,2,350.10,490.74,732.00,2226.80,-1983.65,-488.47
166,24476,2,331.02,501.78,698.00,2237.43,-2007.48,-463.19
167,24495,2,337.19,514.00,711.00,2227.59,-2000.22,-479.06
168,24877,2,367.60,490.51,698.00,2262.53,-2021.45,-487.07
169,24897,2,359.92,498.27,705.00,2250.37,-2013.03,-487.48
170,25472,1,369.04,467.54,685.00,2280.21,-2030.43,-472.53
171,25512,1,681.04,813.50,1334.00,1873.42,-1632.29,-1154.43
172,25536,1,373.38,471.07,720.00,2255.61,-2001.50,-492.97
173,25557,1,372.88,493.88,687.00,2272.80,-2034.01,-487.80
174,26972,2,350.18,451.52,650.00,2300.12,-2051.41,-435.30
175,26990,2,351.08,470.28,677.00,2274.71,-2030.32,-456.06
176,27010,2,349.90,475.11,680.00,2270.28,-2027.82,-458.54
177,27028,1,361.36,532.91,725.00,2225.55,-2000.68,-512.42
178,27052,1,349.62,540.27,731.00,2211.86,-1991.36,-509.02
179,27071,1,325.82,532.45,705.00,2219.61,-2003.35,-475.42
180,27091,1,343.83,529.98,725.00,2216.11,-1992.80,-497.37
181,27110,1,342.41,513.21,722.00,2222.72,-1992.50,-487.69
182,27131,1,347.74,512.49,721.00,2226.84,-1995.56,-491.13
183,27193,1,331.50,508.15,699.00,2234.99,-2007.69,-466.75
184,27211,1,339.56,514.72,716.00,2225.04,-1996.86,-483.45
185,27231,1,342.92,511.13,711.00,2231.87,-2002.25,-482.33
186,27250,1,342.45,517.62,716.00,2225.84,-1998.50,-486.97
187,27269,1,333.32,511.12,715.00,2223.22,-1994.59,-476.55
188,27288,1,348.71,516.84,723.00,2224.57,-1994.80,-494.65
189,27307,1,356.32,541.59,745.00,2204.98,-1981.89,-521.05
190,27334,1,345.79,513.92,723.00,2223.76,-1993.15,-491.10
191,27347,1,348.71,513.92,723.00,2225.48,-1994.39,-493.39
192,27367,1,343.35,520.48,724.00,2219.53,-1992.14,-492.46
193,27392,1,343.35,520.48,724.00,2219.53,-1992.14,-492.46
194,27411,1,343.35,520.48,724.00,2219.53,-1992.14,-492.46
195,27432,1,340.78,528.46,731.00,2210.32,-1985.92,-496.98
196,27453,1,321.20,502.44,695.00,2233.66,-2006.07,-454.41
197,27472,1,321.67,498.82,690.00,2238.79,-2010.23,-451.01
198,27490,1,322.06,508.22,703.00,2226.41,-2000.11,-461.13
199,27509,1,319.23,505.38,703.00,2225.62,-1998.50,-457.68
200,27529,1,316.39,505.38,703.00,2223.95,-1997.29,-455.45
201,27551,1,327.83,528.38,735.00,2199.72,-1976.82,-488.54
202,27571,1,327.96,533.42,742.00,2193.01,-1971.34,-493.91
203,27589,1,327.83,528.38,735.00,2199.72,-1976.82,-488.54
204,27610,1,318.24,514.69,720.00,2209.48,-1984.20,-468.45
205,27630,1,327.96,533.42,742.00,2193.01,-1971.34,-493.91
206,27650,1,301.76,492.53,689.00,2229.74,-2001.75,-432.21
207,27669,1,301.76,492.53,689.00,2229.74,-2001.75,-432.21
208,27690,1,301.59,499.63,695.00,2222.96,-1997.32,-437.79
209,27709,1,301.59,499.63,695.00,2222.96,-1997.32,-437.79
210,27729,1,298.98,492.53,689.00,2228.10,-2000.57,-430.02
211,27750,1,308.24,512.55,717.00,2206.48,-1982.33,-458.34
212,27771,1,308.96,508.97,712.00,2211.74,-1986.59,-455.15
213,27791,1,306.20,513.98,719.00,2203.35,-1979.87,-458.24
214,27811,1,307.81,508.94,716.00,2208.10,-1982.52,-456.00
215,27829,1,303.31,511.07,719.00,2202.54,-1978.23,-454.71
216,27848,1,297.06,505.39,711.00,2206.58,-1981.91,-443.81
217,27868,1,215.49,355.58,506.00,2357.70,-2109.16,-224.28
218,27888,1,214.72,357.69,509.00,2354.35,-2106.45,-225.91
219,27907,1,216.82,368.23,524.00,2341.14,-2095.43,-238.75
220,27925,1,298.75,510.29,722.00,2197.86,-1973.50,-452.12
221,27949,1,296.66,514.63,724.00,2193.78,-1971.43,-453.23
222,27968,1,256.82,449.94,633.00,2258.16,-2026.63,-353.71
223,27989,1,256.82,449.94,633.00,2258.16,-2026.63,-353.71
224,28011,1,293.74,517.55,724.00,2191.15,-1970.60,-452.20
225,28030,1,296.66,517.55,724.00,2192.88,-1971.85,-454.49
226,28048,1,299.58,517.55,724.00,2194.60,-1973.09,-456.79
227,28066,1,299.58,517.55,724.00,2194.60,-1973.09,-456.79
228,28089,1,304.15,515.41,721.00,2200.20,-1977.41,-458.13
229,28108,1,301.24,515.41,721.00,2198.48,-1976.18,-455.84
230,28128,1,301.09,505.40,707.00,2211.93,-1987.21,-445.21
231,28148,1,301.09,505.40,707.00,2211.93,-1987.21,-445.21
232,28169,1,304.15,518.32,721.00,2199.29,-1977.83,-459.38
233,28189,1,306.67,530.63,734.00,2187.27,-1969.03,-472.44
234,28208,1,306.68,525.57,727.00,2194.06,-1974.57,-467.16
235,28228,1,309.96,521.23,721.00,2201.82,-1980.71,-465.21
236,28250,1,312.43,517.60,720.00,2205.15,-1982.15,-465.14
237,28267,1,316.91,512.55,717.00,2211.60,-1986.02,-465.15
238,28291,1,319.36,517.62,716.00,2212.21,-1988.67,-468.82
239,28314,1,320.25,516.16,718.00,2211.70,-1987.06,-469.78
240,28330,1,319.09,512.56,709.00,2218.84,-1994.10,-463.33
241,28369,1,333.32,525.56,715.00,2218.73,-1996.63,-482.78
242,28389,1,318.64,517.55,708.00,2217.77,-1995.51,-464.69
243,28408,1,323.43,513.24,706.00,2223.43,-1998.72,-465.71
244,28427,1,334.32,525.49,711.00,2222.32,-2000.63,-481.76
245,28447,1,338.61,524.82,714.00,2222.83,-1999.68,-486.18
246,28466,1,334.32,519.75,711.00,2224.11,-1999.81,-479.29
247,28486,1,323.77,521.21,713.00,2215.93,-1993.74,-472.51
248,28505,1,324.68,525.56,715.00,2213.63,-1992.95,-475.98
249,28529,1,324.35,517.55,708.00,2221.14,-1997.94,-469.17
250,28549,1,327.20,520.41,708.00,2221.93,-1999.56,-472.65
251,28569,1,324.68,525.56,715.00,2213.63,-1992.95,-475.98
252,28589,1,319.23,516.74,703.00,2222.09,-2000.11,-462.58
253,28608,1,322.06,516.74,703.00,2223.76,-2001.31,-464.81
254,28628,1,316.96,510.24,698.00,2226.49,-2002.69,-455.78
255,28647,1,325.36,514.63,704.00,2225.62,-2001.52,-466.93
256,28666,1,315.59,502.44,695.00,2230.35,-2003.68,-450.01
257,28705,1,294.49,489.67,685.00,2229.31,-2001.82,-423.49
258,28724,1,226.99,372.40,533.00,2339.15,-2092.31,-252.53
259,28748,1,230.00,375.96,535.00,2338.33,-2092.31,-257.32
260,28768,1,224.86,360.38,528.00,2345.35,-2094.17,-243.46
261,28787,1,232.16,360.83,535.00,2344.30,-2091.08,-252.48
262,28806,1,301.79,467.80,702.00,2227.77,-1986.64,-427.32
263,28826,1,299.42,459.80,690.00,2237.79,-1995.22,-416.69
264,28864,1,285.62,424.23,629.00,2286.14,-2038.83,-363.49
265,28907,1,319.23,468.46,703.00,2237.11,-1993.27,-441.75
266,28927,1,402.32,583.25,886.00,2114.16,-1881.37,-637.63
267,28946,1,405.90,583.25,886.00,2116.27,-1882.89,-640.44
268,28966,1,405.90,583.25,886.00,2116.27,-1882.89,-640.44
269,29028,1,403.21,587.80,904.00,2099.87,-1866.30,-648.26
270,29046,1,400.45,596.42,906.00,2094.07,-1864.56,-650.69
271,29083,1,310.60,455.80,684.00,2250.10,-2004.78,-421.09
272,29107,1,410.00,596.03,911.00,2096.10,-1864.11,-660.25
273,29145,1,405.90,576.09,886.00,2118.50,-1881.87,-637.35
274,29168,1,424.72,597.55,919.00,2098.36,-1863.44,-676.01
275,29188,1,278.32,415.82,624.00,2288.17,-2038.99,-351.91
276,29211,1,409.59,593.78,902.00,2103.26,-1871.66,-654.97
277,29230,1,412.26,588.20,916.00,2096.14,-1859.49,-660.85
278,29246,1,412.26,591.90,916.00,2094.99,-1860.01,-662.45
279,29267,1,412.26,584.50,916.00,2097.30,-1858.96,-659.26
280,29285,1,418.22,591.41,921.00,2094.94,-1858.01,-669.14
281,29304,1,421.93,587.69,921.00,2098.29,-1859.07,-670.45
282,29324,1,425.64,587.69,921.00,2100.48,-1860.65,-673.37
283,29344,1,429.36,595.13,921.00,2100.36,-1863.28,-679.50
284,29363,1,423.33,599.30,916.00,2099.23,-1865.78,-674.35
285,29387,1,426.09,590.61,914.00,2105.05,-1867.51,-671.88
286,29405,1,422.32,574.14,883.00,2131.04,-1891.27,-648.09
287,29423,1,363.78,489.38,748.00,2223.39,-1974.99,-505.73
288,29565,1,309.03,415.66,620.00,2309.33,-2055.62,-374.20
289,29615,1,316.55,424.91,630.00,2303.44,-2051.20,-388.53
290,29649,2,314.03,418.16,620.00,2311.50,-2058.10,-379.21
291,29726,2,323.48,435.10,649.00,2290.21,-2038.61,-406.79
292,29747,2,326.10,437.72,649.00,2290.94,-2040.10,-409.98
293,29767,2,324.09,432.42,645.00,2294.39,-2042.06,-404.34
294,29985,1,320.57,427.73,638.00,2298.98,-2046.16,-396.45
295,30005,1,323.98,435.77,650.00,2289.56,-2038.02,-407.91
296,30023,1,320.57,427.73,638.00,2298.98,-2046.16,-396.45
297,30042,1,308.96,406.49,610.00,2319.59,-2063.23,-365.76
298,30065,1,308.96,406.49,610.00,2319.59,-2063.23,-365.76
299,30269,2,338.93,458.63,680.00,2268.93,-2020.82,-442.81
300,30284,2,355.52,486.05,725.00,2236.68,-1991.55,-487.61
301,30304,2,317.56,423.70,632.00,2302.92,-2049.67,-389.69
302,30324,1,344.42,461.38,680.00,2271.31,-2023.54,-448.31
303,30343,1,347.96,468.90,687.00,2265.85,-2019.86,-457.44
304,30362,1,344.42,461.38,680.00,2271.31,-2023.54,-448.31
305,30381,1,355.75,468.22,686.00,2271.41,-2023.98,-462.83
306,30463,2,299.47,383.13,582.00,2342.11,-2080.90,-335.83
307,30483,2,308.87,403.16,605.00,2324.29,-2067.18,-362.04
308,30522,1,311.49,414.79,615.00,2314.78,-2061.01,-373.55
309,30544,1,344.69,468.22,686.00,2264.88,-2019.27,-454.13
310,30563,2,323.16,429.49,633.00,2303.69,-2051.98,-397.03
311,30583,2,310.52,417.67,623.00,2307.35,-2053.86,-377.57
312,30603,2,346.44,464.09,684.00,2268.68,-2021.21,-452.84
313,30622,1,313.36,410.74,609.00,2321.61,-2066.60,-370.62
314,30663,2,354.01,475.14,688.00,2266.74,-2022.43,-465.33
315,30682,1,356.27,471.68,687.00,2269.89,-2023.79,-465.17
316,30703,1,344.42,482.80,691.00,2256.46,-2016.75,-462.42
317,30723,1,348.47,480.70,688.00,2261.74,-2020.86,-463.37
318,30742,1,340.93,477.91,684.00,2261.13,-2020.82,-454.47
319,30762,2,341.92,487.62,686.00,2257.21,-2020.84,-460.33
320,30782,2,366.85,532.08,736.00,2220.86,-1993.06,-521.24
321,30803,2,357.27,540.03,747.00,2204.54,-1980.28,-522.02
322,30842,2,328.58,491.10,687.00,2247.50,-2014.75,-451.78
323,30862,2,237.46,350.80,505.00,2372.90,-2118.73,-239.04
324,30883,2,237.46,350.80,505.00,2372.90,-2118.73,-239.04
325,30922,2,329.53,484.18,689.00,2248.73,-2012.39,-450.43
326,30943,2,341.96,501.10,709.00,2235.91,-2002.21,-476.36
327,30962,2,342.38,497.57,704.00,2240.98,-2006.36,-472.95
328,30981,2,325.86,486.99,693.00,2242.71,-2007.65,-450.53
329,31000,2,309.23,474.34,675.00,2250.23,-2014.87,-424.03
330,31020,2,309.64,476.24,670.00,2253.61,-2019.78,-422.96
331,31039,2,317.50,488.33,687.00,2241.83,-2009.65,-441.88
332,31064,2,315.65,489.75,689.00,2238.80,-2007.27,-441.92
333,31107,2,336.23,508.22,703.00,2234.78,-2006.14,-472.27
334,31184,1,325.58,515.44,717.00,2215.82,-1990.12,-473.22
335,31202,1,322.69,515.44,717.00,2214.11,-1988.89,-470.95
336,31223,1,319.80,515.44,717.00,2212.41,-1987.66,-468.67
337,31244,1,308.33,503.25,704.00,2219.11,-1992.66,-448.64
338,31265,1,303.22,511.85,712.00,2207.46,-1984.56,-451.88
339,31283,1,302.89,496.15,698.00,2222.57,-1994.70,-438.64
340,31304,1,305.70,496.15,698.00,2224.24,-1995.90,-440.85
341,31325,1,303.51,501.83,706.00,2215.22,-1988.62,-445.13
342,31349,1,305.70,496.15,698.00,2224.24,-1995.90,-440.85
343,31379,1,229.99,376.73,530.00,2341.80,-2096.88,-255.42
344,31406,1,228.71,380.30,532.00,2338.45,-2095.06,-256.85
345,31429,1,302.80,511.13,711.00,2208.18,-1985.17,-450.79
346,31449,1,307.81,511.83,716.00,2207.20,-1982.93,-457.25
347,31465,1,306.20,513.98,719.00,2203.35,-1979.87,-458.24
348,31480,1,315.15,531.98,740.00,2187.39,-1967.46,-482.33
349,31507,1,315.15,531.98,740.00,2187.39,-1967.46,-482.33
350,31527,1,313.43,534.13,743.00,2183.47,-1964.36,-483.24
351,31546,1,309.61,525.57,727.00,2195.79,-1975.82,-469.46
352,31560,1,314.17,520.48,724.00,2202.30,-1979.72,-469.52
353,31598,1,318.94,531.35,735.00,2193.55,-1973.46,-482.83
354,31618,1,321.91,531.35,735.00,2195.29,-1974.72,-485.16
355,31636,1,303.95,504.52,694.00,2223.58,-1999.91,-441.31
356,31656,1,303.95,504.52,694.00,2223.58,-1999.91,-441.31
357,31783,1,299.99,535.84,725.00,2188.41,-1974.96,-465.44
358,31880,1,290.02,536.54,722.00,2184.54,-1973.50,-456.58
359,31919,1,252.76,450.38,623.00,2263.08,-2033.90,-346.29
360,31939,1,241.78,446.91,608.00,2268.84,-2042.14,-329.51
361,31978,1,246.61,460.17,633.00,2248.95,-2023.73,-350.10
362,32021,1,278.36,511.71,700.00,2201.77,-1984.68,-426.96
363,32045,1,295.43,529.97,721.00,2190.52,-1975.76,-457.56
364,32061,1,314.30,536.50,738.00,2186.97,-1969.53,-482.73
365,32080,1,306.36,516.09,706.00,2212.46,-1991.86,-453.52
366,32100,1,309.64,516.82,707.00,2213.43,-1992.46,-456.85
367,32120,1,316.47,514.72,716.00,2211.41,-1987.03,-465.30
368,32141,1,313.58,517.62,716.00,2208.81,-1986.21,-464.28
369,32161,1,314.02,518.34,717.00,2208.09,-1985.61,-465.38
370,32181,1,319.80,524.13,717.00,2209.70,-1988.89,-472.42
371,32200,1,336.03,555.89,740.00,2192.27,-1979.74,-509.06
372,32220,1,335.80,550.63,733.00,2198.99,-1985.16,-503.52
373,32239,1,345.42,569.45,754.00,2183.18,-1973.15,-528.50
374,32260,1,323.51,525.84,700.00,2224.02,-2005.90,-468.54
375,32281,1,327.26,527.35,702.00,2224.28,-2005.92,-473.03
376,32302,1,337.66,530.35,706.00,2226.51,-2007.20,-484.27
377,32325,1,333.87,526.00,704.00,2227.11,-2006.76,-478.53
378,32341,1,340.51,530.35,706.00,2228.19,-2008.42,-486.51
379,32365,1,367.04,574.74,761.00,2189.08,-1976.85,-550.87
380,32379,1,348.65,528.36,711.00,2229.89,-2007.13,-494.27
381,32401,1,325.86,517.79,693.00,2233.13,-2012.02,-463.82
382,32419,1,363.49,570.92,760.00,2188.92,-1975.69,-545.99
383,32437,1,357.83,574.74,761.00,2183.65,-1972.93,-543.63
384,32456,1,360.90,574.74,761.00,2185.46,-1974.24,-546.04
385,32480,1,363.97,571.67,761.00,2188.22,-1975.11,-547.13
386,32499,1,357.83,574.74,761.00,2183.65,-1972.93,-543.63
387,32520,1,360.90,574.74,761.00,2185.46,-1974.24,-546.04
388,32539,1,345.32,542.37,722.00,2215.37,-1997.87,-502.56
389,32558,1,336.67,537.86,716.00,2216.14,-1998.91,-491.16
390,32579,1,346.78,540.12,719.00,2219.17,-2000.85,-501.41
391,32604,1,343.40,531.98,712.00,2224.92,-2004.52,-492.14
392,32619,1,346.69,528.25,707.00,2231.75,-2009.86,-490.90
393,32638,1,329.90,511.06,684.00,2244.31,-2020.83,-460.10
394,32659,1,335.41,511.06,684.00,2247.56,-2023.17,-464.44
395,32678,1,333.27,510.71,691.00,2241.20,-2015.96,-465.71
396,32697,1,335.09,509.23,689.00,2244.22,-2018.31,-465.61
