frame,timestamp_ms,person_id,cam_x,cam_y,cam_z,new_x,new_y,new_z
0,16893,2,427.91,494.74,700.00,2295.33,-2045.94,-537.18
1,16913,2,398.87,455.16,644.00,2332.20,-2078.02,-472.48
2,17294,1,379.53,488.96,684.00,2280.48,-2038.82,-489.58
3,17312,1,384.85,481.81,674.00,2293.29,-2049.01,-486.24
4,17332,1,387.80,488.96,684.00,2285.37,-2042.35,-496.08
5,17372,1,383.70,480.38,672.00,2294.55,-2050.11,-483.84
6,17392,1,385.42,479.80,675.00,2293.51,-2048.08,-486.27
7,17412,1,382.70,482.52,675.00,2291.06,-2047.31,-485.30
8,17453,1,385.42,479.80,675.00,2293.51,-2048.08,-486.27
9,17475,1,378.57,473.95,663.00,2300.22,-2055.06,-473.04
10,17497,1,378.73,477.52,668.00,2295.49,-2051.16,-476.93
11,17511,1,378.73,474.82,668.00,2296.32,-2050.78,-475.76
12,17530,1,376.03,474.82,668.00,2294.73,-2049.63,-473.65
13,17550,1,370.65,474.82,668.00,2291.56,-2047.34,-469.41
14,17573,1,378.97,485.48,683.00,2281.98,-2038.99,-487.20
15,17591,1,374.01,486.19,684.00,2278.09,-2036.09,-484.05
16,17609,1,371.26,488.96,684.00,2275.60,-2035.30,-483.07
17,17634,1,374.01,488.96,684.00,2277.23,-2036.48,-485.24
18,17652,1,369.64,480.51,676.00,2283.23,-2040.57,-474.61
19,17672,1,369.09,482.52,675.00,2283.03,-2041.51,-474.61
20,17692,1,373.98,481.81,674.00,2286.88,-2044.39,-477.70
21,17711,1,366.37,479.80,675.00,2282.27,-2039.97,-471.30
22,17732,1,369.09,482.52,675.00,2283.03,-2041.51,-474.61
23,17751,1,366.28,495.21,685.00,2269.97,-2033.17,-482.30
24,17770,1,366.28,495.21,685.00,2269.97,-2033.17,-482.30
25,17792,1,366.28,495.21,685.00,2269.97,-2033.17,-482.30
26,17812,1,363.52,495.21,685.00,2268.34,-2032.00,-480.13
27,17831,1,357.99,492.44,685.00,2265.94,-2029.26,-474.59
28,17849,1,352.90,475.38,665.00,2283.14,-2042.54,-454.37
29,17873,1,346.53,470.37,658.00,2286.15,-2045.38,-444.11
30,17893,1,366.91,483.24,676.00,2280.77,-2039.79,-473.65
31,17912,1,359.88,477.52,668.00,2284.36,-2043.14,-462.11
32,17931,1,380.48,498.28,701.00,2265.49,-2025.36,-501.88
33,17950,1,365.21,485.48,683.00,2273.85,-2033.13,-476.38
34,17970,1,383.31,501.11,701.00,2266.27,-2026.96,-505.32
35,17990,1,383.31,501.11,701.00,2266.27,-2026.96,-505.32
36,18010,1,385.08,496.11,694.00,2274.09,-2033.26,-501.45
37,18029,1,375.02,482.37,671.00,2289.55,-2047.59,-477.43
38,18048,1,375.02,482.37,671.00,2289.55,-2047.59,-477.43
39,18068,1,376.85,474.47,660.00,2301.29,-2057.08,-470.59
40,18097,1,376.28,476.41,659.00,2301.09,-2058.01,-470.54
41,18111,1,376.85,474.47,660.00,2301.29,-2057.08,-470.59
42,18130,1,381.42,480.22,668.00,2296.24,-2052.69,-480.21
43,18149,1,393.49,502.50,699.00,2273.34,-2033.28,-513.03
44,18169,1,396.86,509.66,705.00,2268.64,-2030.37,-521.43
45,18188,1,393.47,501.71,694.00,2277.30,-2037.63,-510.46
46,18215,1,369.99,478.58,662.00,2294.47,-2052.95,-467.86
47,18228,1,374.19,474.47,660.00,2299.72,-2055.95,-468.50
48,18251,1,385.84,476.95,671.00,2297.62,-2051.43,-483.60
49,18269,1,386.23,474.11,667.00,2301.72,-2054.77,-480.91
50,18289,1,383.54,476.80,667.00,2299.29,-2054.00,-479.96
51,18310,1,382.17,471.80,660.00,2305.26,-2058.97,-473.62
52,18330,1,382.13,479.09,674.00,2292.54,-2047.47,-482.93
53,18350,1,373.76,458.22,641.00,2318.66,-2070.44,-452.73
54,18374,1,371.46,461.79,646.00,2312.47,-2065.50,-454.69
55,18389,1,383.26,485.97,676.00,2289.58,-2047.14,-487.68
56,18627,2,371.67,475.38,665.00,2294.22,-2050.53,-469.12
57,18651,2,374.35,472.69,665.00,2296.64,-2051.29,-470.07
58,18669,2,374.35,472.69,665.00,2296.64,-2051.29,-470.07
59,19152,2,389.72,540.95,740.00,2228.62,-2000.48,-544.81
60,19249,2,376.97,509.66,705.00,2256.89,-2021.90,-505.80
61,19927,2,383.92,482.02,682.00,2286.72,-2041.50,-489.14
62,20087,2,382.84,484.14,685.00,2283.19,-2038.66,-490.55
63,20166,2,382.86,490.46,690.00,2277.51,-2035.09,-495.50
64,20206,2,385.08,489.75,689.00,2279.79,-2036.83,-496.49
65,20306,2,379.98,477.07,675.00,2291.15,-2045.37,-480.81
66,20326,2,382.23,479.90,679.00,2288.62,-2043.16,-485.57
67,20388,2,382.84,486.91,685.00,2282.33,-2039.05,-491.74
68,20503,2,380.54,477.78,676.00,2290.52,-2044.82,-482.00
69,20685,2,378.37,478.48,677.00,2288.27,-2043.10,-481.05
70,20726,2,386.73,485.55,687.00,2283.56,-2038.73,-495.10
71,21383,2,386.17,487.62,686.00,2283.33,-2039.67,-495.10
