frame,timestamp_ms,person_id,filter_enabled,cam_x,cam_y,cam_z,new_x,new_y,new_z
110,114122,1,1,10.98,6.28,1055,51.02,-433.56,993.77
111,114235,1,1,11,1.87,1057,51.11,-432.11,998.38
112,114344,1,1,10.91,6.23,1048,51.6,-440.51,992.96
113,114448,1,1,6.53,1.86,1048,47.5,-440.99,997.5
114,114563,1,1,10.92,6.24,1049,51.52,-439.52,993.08
115,114674,1,1,6.55,1.86,1052,47.15,-437.02,997.98
116,114794,1,1,2.15,6.23,1048,42.9,-440.4,993.36
117,114912,1,1,-2.24,10.65,1052,37.91,-435.83,989.67
118,115027,1,1,-6.4,14.5,1014,37.09,-473.01,981.41
119,115138,1,1,-19.36,23.27,1027,22.49,-458.87,974.9
120,115248,1,1,-23.93,6.18,1039,17.81,-449,993.51
121,115352,1,1,-27.46,10.22,1009,16.87,-478.23,986.01
122,115478,1,1,-19.1,14.49,1013,24.56,-473.84,981.88
