frame,timestamp_ms,person_id,filter_enabled,cam_x,cam_y,cam_z,new_x,new_y,new_z
0,130713,1,0,-838.52,238.80,874.00,,,
1,131114,1,0,-514.35,497.75,1850.00,,,
2,131226,1,0,-176.67,186.44,608.00,,,
3,131368,1,0,-593.74,105.84,833.00,,,
4,131475,1,0,-296.26,30.60,508.00,,,
5,131620,1,0,-265.48,32.60,506.00,,,
6,131741,1,0,-138.24,70.85,642.00,,,
7,131890,1,0,-155.06,95.42,645.00,,,
8,132052,1,0,-207.03,121.32,756.00,,,
9,132194,1,0,-232.15,88.66,835.00,,,
10,132332,1,0,-260.16,81.03,950.00,,,
11,132478,1,0,-257.39,104.59,985.00,,,
12,132627,1,0,-272.65,116.37,1096.00,,,
13,132773,1,0,-268.07,111.80,1096.00,,,
14,132928,1,0,-261.74,122.27,1108.00,,,
14,132928,2,0,1969.54,207.15,1484.00,,,
15,133086,1,0,-272.65,120.95,1096.00,,,
15,133086,2,0,1739.53,184.12,1319.00,,,
16,133220,1,0,-296.10,125.76,1098.00,,,
16,133220,2,0,1921.14,198.52,1466.00,,,
17,133344,1,0,-311.67,123.71,1121.00,,,
17,133344,2,0,1681.18,179.65,1287.00,,,
18,133479,1,0,-313.53,122.61,1111.00,,,
18,133479,2,0,1670.95,176.86,1267.00,,,
19,133649,1,0,-313.53,122.61,1111.00,,,
20,133800,1,0,-318.61,119.88,1129.00,,,
21,133930,1,0,-320.02,120.41,1134.00,,,
22,134052,1,0,-321.04,119.03,1121.00,,,
23,134183,1,0,-322.47,119.56,1126.00,,,
24,134296,1,0,-322.47,119.56,1126.00,,,
25,134428,1,0,-323.33,115.16,1129.00,,,
26,134556,1,0,-320.47,114.14,1119.00,,,
27,134701,1,0,-321.90,119.35,1124.00,,,
28,134854,1,0,-323.33,119.88,1129.00,,,
29,134988,1,0,-324.19,120.20,1132.00,,,
30,135101,1,0,-324.19,120.20,1132.00,,,
31,135209,1,0,-324.19,120.20,1132.00,,,
32,135337,1,0,-333.36,123.59,1164.00,,,
33,135460,1,0,-332.50,123.27,1161.00,,,
34,135586,1,0,-332.50,128.12,1161.00,,,
35,135736,1,0,-326.48,125.81,1140.00,,,
36,135870,1,0,-332.50,123.27,1161.00,,,
37,135989,1,0,-334.22,128.79,1167.00,,,
38,136123,1,0,-331.92,127.90,1159.00,,,
39,136273,1,0,-331.92,127.90,1159.00,,,
40,136413,1,0,-331.07,127.57,1156.00,,,
41,136558,1,0,-331.07,127.57,1156.00,,,
42,136688,1,0,-331.92,127.90,1159.00,,,
42,136688,2,0,1414.75,151.82,1056.00,,,
43,136805,1,0,-328.77,126.69,1148.00,,,
43,136805,2,0,1422.79,152.68,1062.00,,,
44,136928,1,0,-328.77,126.69,1148.00,,,
44,136928,2,0,1422.79,152.68,1062.00,,,
45,137055,1,0,-334.22,123.91,1167.00,,,
45,137055,2,0,1492.45,160.16,1114.00,,,
46,137163,1,0,-333.36,128.45,1164.00,,,
46,137163,2,0,1379.62,148.51,1033.00,,,
47,137277,1,0,-333.36,128.45,1164.00,,,
47,137277,2,0,1379.62,148.51,1033.00,,,
48,137421,1,0,-331.92,127.90,1159.00,,,
48,137421,2,0,1441.05,155.12,1079.00,,,
49,137546,1,0,-333.36,128.45,1164.00,,,
49,137546,2,0,1418.35,152.68,1062.00,,,
50,137675,1,0,-337.35,123.27,1161.00,,,
50,137675,2,0,1406.33,155.78,1053.00,,,
51,137792,1,0,-336.77,127.90,1159.00,,,
51,137792,2,0,1386.29,149.23,1038.00,,,
52,137915,1,0,-336.01,121.05,1140.00,,,
52,137915,2,0,1391.64,149.80,1042.00,,,
53,138057,1,0,-342.20,123.27,1161.00,,,
53,138057,2,0,1418.35,152.68,1062.00,,,
54,138176,1,0,-347.06,118.43,1161.00,,,
54,138176,2,0,1418.35,152.68,1062.00,,,
55,138317,1,0,-340.78,116.28,1140.00,,,
55,138317,2,0,1311.39,137.50,985.00,,,
56,138449,1,0,-340.78,116.28,1140.00,,,
56,138449,2,0,1427.22,154.12,1072.00,,,
57,138609,1,0,-341.40,113.33,1111.00,,,
57,138609,2,0,1489.80,160.87,1119.00,,,
58,138760,1,0,-356.93,113.84,1116.00,,,
58,138760,2,0,1503.11,162.31,1129.00,,,
59,138906,1,0,-357.96,109.86,1077.00,,,
59,138906,2,0,1531.07,170.13,1150.00,,,
60,139017,1,0,-363.56,91.01,1067.00,,,
60,139017,2,0,1524.41,174.18,1145.00,,,
61,139139,1,0,-355.40,107.72,1056.00,,,
61,139139,2,0,1404.16,152.10,1058.00,,,
62,139268,1,0,-342.67,100.86,1031.00,,,
63,139414,1,0,-329.84,133.60,1018.00,,,
63,139414,2,0,1539.06,175.85,1156.00,,,
64,139560,1,0,-272.54,100.22,875.00,,,
64,139560,2,0,1417.43,156.52,1058.00,,,
65,139706,1,0,-197.80,99.36,782.00,,,
66,139859,1,0,-153.15,78.35,660.00,,,
67,139990,1,0,-131.34,81.37,566.00,,,
68,140114,1,0,-174.73,115.80,561.00,,,
69,140478,1,0,-762.27,291.36,798.00,,,
70,140637,1,0,-578.39,222.24,670.00,,,
